Brand Name,Product Name,Review
FOA,T-shirt,"The color stays vibrant even after multiple washes, a real wardrobe staple."
FOA,Hoodie,"Perfect for layering, it works well in a variety of weather conditions."
FOA,Joggers,A sporty design that’s functional and trendy at the same time.
FOA,Overall Dress,"I had a great experience at F O A one galle face. They have a stylish selection and the quality of the clothing is impressive. The staff was friendly , though I wish they had more sizes available in some items. Overall, a solid place to shop, and I'll definitely be back! Nishad Shihar"
FOA,Shoes,if your ever looking for the best quality shoes just shop at FOA you will never regret! ❤️✨
FOA,Shorts,Excellent for active lifestyles with a design that moves with you.
FOA,Bag,"The zippers break easily and frequently get stuck, which is very frustrating."
FOA,Shoes,They fit true to size and provide instant comfort out of the box.
FOA,Dress,"I sincerely apologize for the inconvenience and the issues you've faced with your recent order. We’ve had an unusually high volume of orders during our birthday sale, and in rare cases like yours, if multiple customers checked out around the same time, the product may have gone out of stock before your order was processed. That said, I completely understand your frustration with the delay and lack of communication, and we are truly sorry for the trouble caused. To resolve this issue as soon as possible, please contact Shenal Wickremasinghe directly on Saturday at (077)4170. He will make sure your concern is addressed promptly. Once again, we deeply regret the inconvenience caused and appreciate your understanding. sithmi ranasinghe"
FOA,T-shirt,"The fabric feels premium and fits true to size, ensuring a comfortable wear all day."
FOA,Overall Dress,Good service by Shihan. Highly recommend clothing brand.
FOA,Joggers,"he seams are well-constructed, ensuring long-lasting durability."
FOA,Bag,It holds its shape beautifully even when fully packed.
FOA,T-shirt,"The graphic design on this tee is bold and artistic, instantly elevating its appeal."
FOA,Joggers,A reliable pair that boosts my confidence in any setting.
FOA,Shoes,The customer service was top notch and the staff were extremely helpful in selecting shoes. Recommend the store to anyone thinking about getting shoes or athletics gear from here !
FOA,Shoes,The shoes feel too stiff and uncomfortable during extended wear.
FOA,T-shirt,"Just bought a T-shirt and I love it. It’s very stylish and comfortable! The staff are very friendly and I’m glad that the store has KOKO, Mintpay and Payzy payment options."
FOA,Joggers,"The material is too thin, providing minimal warmth on cooler days."
FOA,Bag,"I appreciate the practical design of this duffle bag, it’s ideal for gym sessions and travel."
FOA,Hoodie,"Excellent craftsmanship is evident in the strong, reliable stitching."
FOA,T-shirt,I’m impressed by the creative print details that add an extra touch of personality.
FOA,Hoodie,Spacious pockets make it practical as well as trendy.
FOA,Overall Dress,5 stars! Great quality of clothes for women and men. Great store!roshali shiranthi528
FOA,T-shirt,The oversized style ended up looking too baggy and unflattering on my frame.
FOA,Overall Dress,"I recently had the pleasure of experiencing exceptional customer service from FOA Clothing Store, and I felt compelled to share my positive feedback. I initially ordered the wrong size, and upon realizing my mistake, I contacted FOA’s customer service department for assistance. The customer service agent (Shenal wickremasinghe) I spoke with was incredibly helpful and understanding. He efficiently processed my return and promptly arranged for the correct size to be sent to me. I was pleasantly surprised to receive the correct size within a day of contacting FOA’s customer service agent (Shenal wickremasinghe). His quick response and dedication to resolving my issue exceeded my expectations. Thanks to the outstanding assistance provided by FOA’s customer service, I am now a satisfied customer. I highly commend FOA Clothing Store for their commitment to excellent service and customer satisfaction."
FOA,Overall Dress,"Recently I online shopped here and their customer service was excellent and beyond the satisfaction. ngl this is the first time i shopped here and i was in a bit of a rush to buy some clothes, Shenal from FOA helped me throughout the order collection processes and he didn't even hesitate to offer the help. also i'm really satisfied with their customer service and ngl the clothings i bought are very comfy and worthy for the money spent. Again thanks Shenal and the FOA crew for the speechless customer service."
FOA,T-shirt,Qulity and branded t T-shirts available
FOA,Bag,Everything farmost good bought a FOA bag from the OGF outlet. There werestaff one of them was super customer friendly he guided me and got the best of the bags the other fellow .Doesnt seem to smile at all and myself thanked him but guy just turned his head . OGF outlet is a high end customers comes Give a kind reminder for the cashier how to move with customers .
FOA,Hoodie,A go-to hoodie that delivers comfort without compromising on style.
FOA,Shorts,The soft fabric prevents chafing even on the hottest days.
FOA,Dress,I visited the shop at OGF to purchase some dresses and there was a kind person who assisted us with finding dresses. He was very helpful and very supportive. He introduced himself as Sathees. Thank you very much and keep it up.
FOA,T-shirt,"The relaxed, oversized fit is ideal for a trendy"
FOA,T-shirt,"I love the quality, breathable fabric with a perfect blend of comfort and durability."
FOA,Overall Dress,Poor quality of clothing and poor customer service. I ordered this online and the stitching at the bottom is clearly skewed. I reached out to them and requested for an exchange and they weren't helpful all.
FOA,Shoes,"FOA’S CUSTOMER SERVICE IS A NIGHTMARE!! Customer service is really bad. Bought shoes from the birthday sale and the size didn’t fit. Wanted to exchange and my calls were constantly hanged up and when you they pick up they weather its for the birthday sale and they say delivery time takes bla bla without me even asking for it. First teach your customer service people to learn what are the basics of customer service. We are paying for this, you are not handing this over to us for free. After few calls they said that they can replace this, they gave me a whatsapp number and I contacted him/her. That number was offline untilpm and they never saw or replied to my text. I called back customer service number and they said they can’t help someone reach out to that person only you can help you. Now it is my duty to search for that person and process my replacement? LOKUWATA KIYANAWA PREMIUM BRAND KIYALA. NEVER gonna buy anything from this place who treats customers like this. Not evenstar deserving!! will definitely post my experience in TikTok."
FOA,Shorts,"The lightweight, breathable fabric is ideal for hot weather."
FOA,Hoodie,Overall quality falls short of expectations given the high price point.
FOA,Overall Dress,"I’m very disappointed with F.O.A Clothing. I ordered a grey tee from their birthday sale but received a blue one instead. Despite reaching out multiple times via social media and email, I haven’t received any response or resolution. This experience has been extremely frustrating and has left me questioning their customer service. I hope they improve their communication and resolve issues more effectively in the future.Theekshana Athukorala Arrachi"
FOA,Shoes,"Bought a pair of shoes online since they looked good and comfortable to the picture, but realized otherwise after receiving the pair. Shoes are not comfortable and are very bad quality. I know the price is bit cheap but still not worth buying. The customer service is really bad. It tookdays to receive the package and during that time I tried to contact the store through emails and through provided telephone numbers but they never responded to any of those. I understand that there might be a delay with the delivery due to huge amount of orders but at least they could have responded to the calls/emails."
FOA,Joggers,The premium material feels soft and luxurious against the skin.
FOA,Joggers,"The simple, classic design makes them a timeless wardrobe essential."
FOA,Overall Dress,Not worth the money. Their clothes are not sewn properly. Threads are left everywhere..
FOA,Hoodie,Shallow pockets offer little storage and practicality.
FOA,T-shirt,"The t-shirt shrank after the first wash, losing its original fit."
FOA,Slippers,"Satisfied with the products, I had to exchange the slippers since the size was small , next day it self i got the other size and exchange process was very smooth and easy. Customer support was very good"
FOA,Hoodie,The hood provides excellent warmth without feeling too bulky.
FOA,Shorts,They feel restrictive and uncomfortable during extended wear.
FOA,T-shirt,Friendly customer service and I ordered a t T-shirt the order was prepared as soon as I said. Thanks for the service Mr. Shenal🙌🏻
FOA,Overall Dress,"I am absolutely impressed with FOA clothing! Trendy outfits, prompt delivery, and top-notch customer care. Kudos to the dedicated one, Mr.Shenal Wickramasinghe who went above and beyond to make sure my order was perfect according to my special request. :)"
FOA,"T-shirt, Cap",I found the cap just as I was looking for. The pattern on this T-shirt is beautiful ✌️ Thankyou F.O.A. ❤️
FOA,Joggers,"The joggers are too loose, resulting in a baggy look."
FOA,Bag,"The bag feels too bulky, making it uncomfortable for long periods of carry."
FOA,Shoes,"The color started fading after only a few uses, diminishing their appeal."
FOA,Bag,"Stylish and lightweight, this crossbody bag offers a hands-free experience."
FOA,Bag,High-quality finish and attention to detail make this bag stand out.
FOA,T-shirt,A relaxed and flattering cut that pairs effortlessly with any casual outfit.
FOA,Hoodie,"A perfect blend of comfort, style, and practicality."
FOA,Overall Dress,Good place colombo best clothing shop new design and unique style comfortable place Janith Malishka
FOA,T-shirt,"Very poor customer service i orderedtT-shirts onth of November and still i have not got any emails to collect my orders and when i try to contact them they are not answering the calls no reply to my messages in Insta too and they say that all orders are dispatched in their insta stories totally disappointed with the service, They said that it will take mindays to get the order only after placing the order if they would have said that earlier i would have never placed the order.If you cant provide a good service or answer the calls please dont promote your business🤦🏾"
FOA,T-shirt,"Worst customer service ever-Never order from them again!!!! I ordered a crew neck T-shirt and joggers from FOA on August,, and as of September,, I still haven’t received any notification that my order is ready for pickup. I chose store pickup specifically because I’ve heard about their delays, but this has been excessive. After several attempts to contact customer service, I was initially met with silence, and when I finally got through, they told me my order would be ready by Friday. Now, their contact numbers are unavailable. My cousin had a similar experience, waitingdays for her order, and they even pressured her to remove her negative review after she finally received it. It’s unacceptable for a brand to take overdays to prepare an order, especially when other retailers manage to fulfill orders much quicker. FOA claimed they were overwhelmed with orders, but that doesn’t excuse such poor service. When I called to cancel my order, their response was dismissive, reflecting a lack of concern for customer satisfaction. I strongly advise against ordering from FOA. They present themselves as a premium brand but fail to deliver on that promise. Save yourself the hassle and choose a more reliable retailer.Asma Asma"
FOA,Overall Dress,"Hi, I have received superb service and excellent clothes from F.O.A. I mistakenly ordered the wrong size, but without further questions, I received the correct one, even though it was my mistake. This is the superb service I have ever received from Shenal Wickramasinghe. I highly recommend their excellent service and goods."
FOA,Shorts,A high quality pair of shorts that marries comfort with style.
FOA,Bag,Good stuff and amazing customer service! Loving the black crossbody bag
FOA,Shoes,"I recently placed an order (Shoe) during the Augustst sale, and the experience has been incredibly frustrating. You advertise yourselves as a “reputed business” that “values its customers,” but based on my experience, but guess what that’s a complete joke. I paid in full, and was promised it would be ready for pickup within few days. Guess what? No product, no updates, and absolutely no proper communication and its beendays now. I’ve sent multiple emails, all of which have been completely ignored. I’ve called three times, only to hear the same pathetic excuse about being overwhelmed with orders. That’s not my problem. If you’re going to run a sale, you better be able to handle the volume, period. A so-called “reputed” business wouldn’t drop the ball like this. And today, I was lied to again by your customer service rep who swore I’d get an email update by within couple minutes. And, shocker, no email. This is completely unacceptable and shows that your company either doesn’t know what it’s doing or doesn’t give a damn about its customers. If this is what you mean by “valuing customers,” then I’ll be thinking long and hard about ever doing business with you again. I want my order ready immediately—no more excuses—or I’ll escalate this further. I also expect an explanation for this disgraceful service. You seriously need to reevaluate what being a “reputed business” means, because right now, your reputation is circling the drain. *********Don't be like the politicians the business will die soon if you guys doesn't give a damn about us**************"
FOA,Shorts,"The elastic waistband provides a secure, comfortable fit throughout the day."
FOA,Pants,I ordered a pair of cream cargo pants from foa and was in a hurry to get it so I asked a worker named shenal from foa on how to get it down to my university and he helped me pick the perfect pants and he delivered it to my university.has such a lovely interaction with the store and the worker I will definitely purchase again from foa.🔥🔥
FOA,Dress,Great dress and good material
FOA,Shoes,I bought a pair of shoes online and it did ship to me in quickly. Bit when i got the package the shoes had some mold/fungus. When i email about it they didn't even respond to it and when i try to contact them they didn't answer the phones as wel. Very bad customer service and really disappointed.. did not expect these kind of service from F.O.A
FOA,T-shirt,"This t-shirt is super soft and fits like a dream, making it a daily favorite."
FOA,Overall Dress,The best place to make your look more attractive and the prices of the clothes are simply affordable.And yeah you can grab some uncommon clothes and those are pretty awesome 💫
FOA,T-shirt,"A true standout, this oversized tee combines comfort with a fashion-forward design."
FOA,Hoodie,"The fabric remains soft and comfortable, wear after wear."
FOA,Joggers,Shallow pockets offer little practicality.
FOA,Bag,"This duffle bag is spacious and rugged, making it perfect for weekend trips."
FOA,Shoes,The sole provides exceptional grip and stability on different surfaces.
FOA,Shorts,Vibrant colors combined with quality stitching make these a standout pair.
FOA,Bag,Yesterday I brought a side bag good quality great customer care tnx foa clothing shwetha fernando
FOA,T-shirt,The intricate design elements make this t-shirt a conversation starter wherever you go.
FOA,Shorts,Speaking about this brand its a really cool full sri lankn brand🔥i have been usin their products for so long time its been really comfy and really cool fits specially shorts😎 and talking about the service at the store is really awesome really helpful. No second thoughts. Special thanks to rashad whos handling the store he gave a super support..
FOA,Hoodie,I appreciate the thoughtful design details that enhance its overall appeal.
FOA,Joggers,"I love the tapered design that gives a modern, athletic look."
FOA,T-shirt,This oversized tee makes a bold statement while remaining extremely comfortable.
FOA,Overall Dress,Totally disappointed their customer service. they don't know how to treat to their customers. we're not going buy clothes free of charge 😂. Worst customer services ever. Not only enough their brand quality.
FOA,T-shirt,"I’m very disappointed with my recent experience with FOA Clothing. I ordered a T-shirt during their birthday sale on Augustst, but I've been trying to check the delivery status for over a week now. Last Friday, I was told my order would arrive on Wednesday, but that didn't happen, I was then informed it would arrive today. However, today, I called again to check on my delivery, only to be informed that my item is out of stock. They never called me to provide this update. I’m frustrated that my order was taken without notifying me of its availability. They mentioned they would process a refund, but I haven’t received any follow-up, despite reaching out multiple times. The customer service has been lacking, and this experience has left me quite upset. Very disappointed!!!"
FOA,Bag,Bought the duffle bag online. Was delivered indays. Been using it for less than two weeks now. Got caught in the rain once and the FOA print is peeling off already. Pretty bad quality print I must say. Hopefully the duffle bag won't fall apart like the print.
FOA,Shoes,"I ordered pair of sneakers from your site. But still i did not receive it. I payed uber delivery charge for one day delivery also. And it's disappointing when a company doesn't answer their phone, especially for online orders. And i tried to contact via massenger and whtasapp. But they are not replying. Efficient communication is key to good customer service. Hopefully, you'll improve your responsiveness in the future."
FOA,T-shirt,Color discrepancies between online images and the actual product were off-putting.
FOA,Shorts,"Material durability is lacking, making them less practical for everyday use."
FOA,T-shirt,FOA is my favourite place to shop at. They have the best oversized tT-shirts. Their quality is next level. Love this shop. Sulaiman Sajjad
FOA,Shorts,The shorts are incredibly comfortable
FOA,T-shirt,"FOA has always been a go to brand for me. Purchased a lovely set of oversized tees and croptops for my girl. She was super satisfied with the quality of the merchandise. The environment at OGF branch was welcoming. We wanted to do an exchange afterwards, when we called the hotline a pleasant individual named Shenal provided an excellent service to meet our required. Looking forward to visit again soon. Cheers FOA"
FOA,Overall Dress,Finest clothing brand which is super comfortable Ushan Chamod Hettiarachchi
FOA,Overall Dress,Dilum is a very supportive and friendly person . He has good sense of fashion . Great guy
FOA,Shorts,It is a local Brand. They have met the quality of an international brand. Their prices little bit low than international brands. I bought a pair of shorts only. Only one colour available. They have sold out all stock of black. Material is good. Need to use it for some time to comment on it much.
FOA,Hoodie,"Vibrant color options that resist fading, even after multiple washes."
